Darkness|暗闇|Obscurité|Dunkelheit|Oscuridad
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Directional Floor Tile (Down)|方向床（下）|Tile au sol directionnelle (bas)|gerichteter Boden (nach unten)|Suelo Direccional (Abajo)
Directional Floor Tile (Up)|方向床（上）|Tile au sol directionnelle (haut)|gerichteter Boden (nach oben)|Suelo Direccional (Arriba)
Relief Floor Tile|レリーフ床|Tile au sol de relief|Reliefboden (C)|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Reliefboden (D)|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
Directional Floor Tile (Left)|方向床（左）|Tile au sol directionnelle (gauche)|gerichteter Boden (nach links)|Suelo Direccional (Izquierda)
Directional Floor Tile (Right)|方向床（右）|Tile au sol directionnelle (droite)|gerichteter Boden (nach rechts)|Suelo Direccional (Derecha)
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Tile au sol de relief (ruines)|Reliefboden (C, beschädigt)|Relieve (Ruinas)
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Tile au sol de relief (ruines)|Reliefboden (D, beschädigt)|Relieve (Ruinas)
